Age,Age (group),Department,Disability Status,Education-1,Ethnicity,Gender Updated,Info,Job Satisfaction,Job Satisfaction ,Years At Company (group),Years At Company (group) (copy),Employee Count,Monthly Income,Training Times Last Year,Years At Company
27,26-40,Sales,Not Disabled,Mid-Level,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,4342,3,4
37,26-40,Research & Development,Not Disabled,Mid-Level,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,2782,3,5
38,26-40,Research & Development,Disabled,Manager,Asian,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,11-15 Years,Nov-15,1,5980,2,15
34,26-40,Research & Development,Not Declared,Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,6-10 Years,06-Oct,1,4381,3,6
35,26-40,Sales,Not Disabled,Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,2572,1,3
30,26-40,Research & Development,Prefer not to say,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,3833,2,2
40,26-40,Research & Development,Disabled,Associate,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,6-10 Years,06-Oct,1,4244,2,8
34,26-40,Sales,Not Disabled,Associate,All Other Races,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,6500,1,3
42,41-55,Research & Development,Not Disabled,Senior - Proffessional,White,Non-Binary,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,21+ Years,21+,1,18430,4,24
23,16-25,Research & Development,Disabled,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,1601,2,0
24,16-25,Research & Development,Not Declared,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,0-5 Years,0-5,1,2694,4,1
52,41-55,Research & Development,Not Disabled,Manager,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,3149,3,5
50,41-55,Research & Development,Not Disabled,Senior - Proffessional,All Other Races,Prefer not to say,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,17639,3,4
29,26-40,Research & Development,Not Declared,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,2319,1,1
33,26-40,Research & Development,Not Disabled,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,11-15 Years,Nov-15,1,11691,3,13
33,26-40,Sales,Not Disabled,Senior - Proffessional,All Other Races,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,5324,3,3
47,41-55,Research & Development,Not Disabled,Associate,White,Prefer not to say,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,21+ Years,21+,1,16752,3,26
36,26-40,Research & Development,Not Disabled,Senior - Proffessional,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,6-10 Years,06-Oct,1,5228,2,9
29,26-40,Research & Development,Disabled,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,6-10 Years,06-Oct,1,2700,3,10
58,55+,Research & Development,Not Disabled,Manager,Black or African American,Non-Binary,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,21+ Years,21+,1,19246,2,31
35,26-40,Research & Development,Disabled,Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,2506,0,2
42,41-55,Research & Development,Not Declared,Associate,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,6062,4,4
28,26-40,Research & Development,Not Disabled,Manager,Asian,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,4382,3,2
36,26-40,Human Resources,Not Disabled,Senior - Proffessional,Hispanic or Latino,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,0-5 Years,0-5,1,2143,2,5
32,26-40,Research & Development,Not Declared,Senior - Proffessional,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,11-15 Years,Nov-15,1,6162,3,14
40,26-40,Research & Development,Not Declared,Manager,Asian,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,5094,6,1
30,26-40,Research & Development,Not Declared,Senior - Proffessional,All Other Races,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,6877,4,0
45,41-55,Research & Development,Not Declared,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,2274,3,1
42,41-55,Research & Development,Not Disabled,Senior - Proffessional,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,6-10 Years,06-Oct,1,4434,3,9
38,26-40,Research & Development,Not Declared,Senior - Proffessional,Black or African American,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,6288,3,4
34,26-40,Research & Development,Not Declared,Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,2553,3,5
49,41-55,Sales,Not Disabled,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,6-10 Years,06-Oct,1,7654,3,9
55,41-55,Sales,Not Disabled,Mid-Level,Hispanic or Latino,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,6-10 Years,06-Oct,1,5160,3,9
43,41-55,Research & Development,Not Disabled,Associate,Asian,Prefer not to say,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,17159,3,4
27,26-40,Research & Development,Not Declared,Mid-Level,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,6-10 Years,06-Oct,1,12808,3,9
35,26-40,Research & Development,Not Disabled,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,6-10 Years,06-Oct,1,10221,3,8
28,26-40,Sales,Not Disabled,Manager,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,6-10 Years,06-Oct,1,4779,2,8
34,26-40,Human Resources,Not Disabled,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,3737,1,3
26,26-40,Research & Development,Not Declared,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,6-10 Years,06-Oct,1,2366,2,8
27,26-40,Research & Development,Not Disabled,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,1706,6,0
51,41-55,Sales,Not Disabled,Manager,Black or African American,Prefer not to say,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,16-20 Years,16-20,1,16307,2,20
44,41-55,Research & Development,Not Disabled,Senior - Proffessional,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,0-5 Years,0-5,1,5933,2,5
25,16-25,Research & Development,Disabled,Mid-Level,Black or African American,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,3424,3,4
33,26-40,Sales,Disabled,Senior - Proffessional,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,6-10 Years,06-Oct,1,4037,5,9
35,26-40,Research & Development,Not Declared,Mid-Level,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,6-10 Years,06-Oct,1,2559,3,6
36,26-40,Sales,Not Disabled,Associate,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,16-20 Years,16-20,1,6201,1,18
32,26-40,Sales,Not Disabled,Manager,Black or African American,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,4403,3,5
30,26-40,Research & Development,Not Declared,Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,3761,3,5
53,41-55,Sales,Not Declared,Associate,Black or African American,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,10934,3,5
45,41-55,Sales,Not Disabled,Senior - Proffessional,Hispanic or Latino,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,10761,2,5
32,26-40,Research & Development,Disabled,Associate,All Other Races,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,5175,3,5
52,41-55,Research & Development,Not Declared,Manager,White,Prefer not to say,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,6-10 Years,06-Oct,1,13826,3,9
37,26-40,Sales,Not Declared,Manager,Hispanic or Latino,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,6334,2,1
28,26-40,Human Resources,Not Declared,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,4936,6,5
22,16-25,Research & Development,Not Declared,Associate,Asian,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,4775,2,2
44,41-55,Research & Development,Disabled,Manager,Black or African American,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,2818,2,3
42,41-55,Research & Development,Not Disabled,Mid-Level,All Other Races,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,2515,2,2
36,26-40,Human Resources,Not Declared,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,2342,3,5
25,16-25,Sales,Not Disabled,Mid-Level,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,4194,3,5
35,26-40,Research & Development,Not Declared,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,16-20 Years,16-20,1,10685,2,17
35,26-40,Research & Development,Not Disabled,Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,6-10 Years,06-Oct,1,2022,3,10
32,26-40,Research & Development,Not Disabled,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,2314,2,3
25,16-25,Sales,Not Declared,Mid-Level,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,4256,1,5
49,41-55,Research & Development,Not Disabled,Senior - Proffessional,Black or African American,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,0-5 Years,0-5,1,3580,2,4
24,16-25,Research & Development,Not Declared,Mid-Level,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,3162,2,5
32,26-40,Sales,Not Disabled,Associate,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,6-10 Years,06-Oct,1,6524,3,10
38,26-40,Sales,Not Declared,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,0-5 Years,0-5,1,2899,3,2
42,41-55,Research & Development,Disabled,Senior - Proffessional,Black or African American,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,5231,1,5
31,26-40,Research & Development,Not Disabled,Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,6-10 Years,06-Oct,1,2356,2,6
29,26-40,Sales,Not Declared,Senior - Proffessional,Asian,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,High,0-5 Years,0-5,1,2800,3,3
53,41-55,Sales,Not Disabled,Senior - Proffessional,All Other Races,Prefer not to say,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,11836,3,2
35,26-40,Research & Development,Not Declared,Senior - Proffessional,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,11-15 Years,Nov-15,1,10903,2,13
37,26-40,Sales,Not Disabled,Associate,All Other Races,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,2973,3,5
53,41-55,Research & Development,Not Disabled,Manager,Asian,Prefer not to say,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,11-15 Years,Nov-15,1,14275,0,12
43,41-55,Research & Development,Not Disabled,Senior - Proffessional,Hispanic or Latino,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,5562,2,5
47,41-55,Sales,Not Disabled,Associate,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,6-10 Years,06-Oct,1,4537,2,7
37,26-40,Sales,Not Disabled,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,6-10 Years,06-Oct,1,7642,2,10
50,41-55,Research & Development,Not Disabled,Manager,White,Prefer not to say,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,21+ Years,21+,1,17924,3,31
39,26-40,Human Resources,Not Declared,Senior - Proffessional,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,5204,2,5
33,26-40,Human Resources,Not Disabled,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Medium,Medium,0-5 Years,0-5,1,2277,4,4
32,26-40,Research & Development,Not Disabled,Manager,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,2795,2,1
29,26-40,Research & Development,Not Declared,Mid-Level,Asian,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,2532,5,4
44,41-55,Research & Development,Not Disabled,Associate,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",Low,Low,6-10 Years,06-Oct,1,2559,0,8
28,26-40,Sales,Not Disabled,Manager,White,Female,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,4908,3,4
58,55+,Research & Development,Not Declared,Mid-Level,White,Male,"Data is transformed from the following public datasets: 
Attrition Data: https://www.kaggle.com/pavansubhasht/ibm-hr-analytics-attrition-dataset
Turnover Data: https://data.louisvilleky.gov/documents/louisville-metro-ky-turnover-historical/about",High,Very High,0-5 Years,0-5,1,2380,3,1
