uid,datetime,latitude,longitude,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,MOTORIST INJURED,MOTORIST KILLED,PEDESTRIANS KILLED,CYCLIST KILLED,CYCLIST INJURED,PEDESTRIANS INJURED,Total Victim,Injured,Killed
3927,11/11/2018 13:57,-1.291374011,36.73369,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
3928,11/11/2018 16:26,-1.487945109,37.0598778,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
3929,11/11/2018 21:45,-1.290623511,36.8280548,Lost Consciousness,Unspecified,Unspecified,Unspecified,Unspecified,Van,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
3930,11/11/2018 23:46,-1.290993511,36.8280923,Driver Inexperience,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,1,0,0,0,0,0,1,1,0
3931,11/12/2018 4:05,-1.317826328,36.77742324,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3932,11/12/2018 5:36,-1.272376011,36.802951,Traffic Control Device Improper/Non-Working,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
3933,11/12/2018 5:37,-1.305744511,36.82693484,Backing Unsafely,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3934,11/12/2018 9:18,-1.244792616,36.86769895,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3935,11/12/2018 15:14,-1.39294591,36.93927152,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Bus,1,0,0,0,0,0,1,1,0
3936,11/12/2018 21:52,-1.281629611,36.8223524,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3937,11/13/2018 7:16,-1.259086961,36.77803207,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,0,0,0,0,0,1,1,1,0
3938,11/13/2018 10:26,-1.323429111,36.7794716,Physical Disability,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
3939,11/13/2018 10:57,-1.266623711,36.7464754,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
3940,11/13/2018 11:26,-1.299630601,36.8050333,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
3941,11/13/2018 12:26,-1.255709361,36.89294045,Unsafe Speed,Alcohol Involvement,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3942,11/13/2018 12:40,-1.290796911,36.8245171,Reaction to Uninvolved Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
3943,11/13/2018 12:41,-1.290796911,36.8245171,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
3944,11/13/2018 14:24,-1.217743911,36.6513294,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
3945,11/13/2018 21:16,-1.354168798,36.9066846,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
3946,11/13/2018 21:23,-1.271884404,36.82795068,Other Vehicular,Unspecified,Unspecified,Unspecified,Unspecified,FB,BU,BICYCLE,BICYCLE,BICYCLE,1,0,0,0,0,0,1,1,0
3947,11/14/2018 6:31,-1.420153978,36.95400571,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
3948,11/14/2018 6:50,-1.251430011,36.78699,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
3949,11/14/2018 8:17,-1.27157867,36.80851639,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3950,11/14/2018 10:41,-1.316695995,36.81350017,Fatigued/Drowsy,Unspecified,Unspecified,Unspecified,Unspecified,LIVERY VEHICLE,Taxi,Taxi,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
3951,11/14/2018 17:36,-1.118024641,37.0098692,Lost Consciousness,Unspecified,Unspecified,Unspecified,Unspecified,Van,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
3952,11/14/2018 17:37,-1.118024641,37.0098692,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
3953,11/14/2018 21:45,-1.264266609,36.74698523,Outside Car Distraction,Unspecified,Unspecified,Unspecified,Unspecified,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
3954,11/15/2018 8:33,-1.202267311,36.8330688,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,PICK-UP TRUCK,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3955,11/15/2018 11:12,-1.344459005,36.902554,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,BU,1,0,0,0,0,0,1,1,0
3956,11/15/2018 12:38,-1.288771411,36.8279207,Fatigued/Drowsy,Unspecified,Unspecified,Unspecified,Unspecified,LIVERY VEHICLE,Taxi,Taxi,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
3957,11/15/2018 12:50,-1.239671011,36.7399825,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,OTHER,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3958,11/15/2018 13:01,-1.299698643,36.80728914,Illnes,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
3959,11/15/2018 18:10,-1.242537168,36.86840687,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3960,11/15/2018 18:13,-1.257792911,36.8545017,Prescription Medication,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3961,11/15/2018 18:14,-1.257792911,36.8545017,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3962,11/15/2018 18:16,-1.257546355,36.85433531,Traffic Control Device Improper/Non-Working,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,0,0,0,0,0,1,1,1,0
3963,11/15/2018 18:25,-1.257792911,36.8545017,Fatigued/Drowsy,Unspecified,Unspecified,Unspecified,Unspecified,LIVERY VEHICLE,Taxi,Taxi,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
3964,11/16/2018 9:05,-1.258179733,36.70192021,Alcohol Involvement,Backing Unsafely,Backing Unsafely,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
3965,11/16/2018 9:21,-1.255901411,36.69550016,Unsafe Speed,Passenger Distraction,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3966,11/16/2018 9:21,-1.255901411,36.69550016,Driver Inattention/Distraction,Following Too Closely,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
3967,11/16/2018 10:40,-1.437484666,36.97583374,Traffic Control Disregarded,Other Vehicular,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Ambulance,1,0,0,0,0,0,1,1,0
3968,11/16/2018 17:59,-1.31927811,36.8383276,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3969,11/16/2018 17:59,-1.319632768,36.83798226,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
3970,11/16/2018 21:29,-1.260873915,36.71673865,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3971,11/16/2018 23:31,-1.39570413,36.94089234,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
3972,11/17/2018 6:42,-1.156232012,36.9280645,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
3973,11/17/2018 6:51,-1.163748913,36.9535797,Other Vehicular,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
3974,11/17/2018 7:47,-1.262388625,36.80057104,Brakes Defective,Other Vehicular,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,Taxi,PASSENGER VEHICLE,Taxi,1,0,0,0,0,0,1,1,0
3975,11/17/2018 8:16,-1.211250379,36.90754549,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
3976,11/17/2018 8:20,-1.263905011,36.758215,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3977,11/17/2018 8:45,-1.263905011,36.758215,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Pick-up Truck,Sedan,Sedan,1,0,0,0,0,0,1,1,0
3978,11/17/2018 11:11,-1.32217496,36.70737997,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,PICK-UP TRUCK,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3979,11/17/2018 12:11,-1.293106827,36.88962206,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Box Truck,Box Truck,Sedan,Sedan,1,0,0,0,0,0,1,1,0
3980,11/17/2018 15:52,-1.288220011,36.831342,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3981,11/17/2018 21:06,-1.44383151,36.9895225,Alcohol Involvement,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,PASSENGER VEHICLE,PASSENGER VEHICLE,Pick-up Truck,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3982,11/17/2018 22:19,-1.277988011,36.9076781,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
3983,11/17/2018 22:45,-1.283005211,36.8251365,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
3984,11/18/2018 3:33,-1.328855359,36.88165409,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,BU,1,0,0,0,0,0,1,1,0
3985,11/18/2018 10:38,-1.310911811,36.8362704,Prescription Medication,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3986,11/18/2018 17:09,-1.305425811,36.7731714,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Bus,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
3987,11/18/2018 17:41,-1.232960511,36.8748226,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
3988,11/18/2018 22:21,-1.265262389,36.90469277,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3989,11/19/2018 1:32,-1.294130065,36.88852106,Prescription Medication,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
3990,11/19/2018 6:42,-1.212620311,36.892937,Backing Unsafely,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3991,11/19/2018 7:39,-1.261699611,36.8034775,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3992,11/19/2018 8:40,-1.269830311,36.8074321,Fatigued/Drowsy,Unspecified,Unspecified,Unspecified,Unspecified,LIVERY VEHICLE,Taxi,Taxi,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
3993,11/19/2018 13:28,-1.249460411,36.8582223,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,1,0,0,0,0,0,1,1,0
3994,11/19/2018 20:59,-1.308882811,36.6957114,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Bus,1,0,0,0,0,0,1,1,0
3995,11/20/2018 7:17,-1.296758511,36.807298,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,van,PASSENGER VEHICLE,0,0,0,0,0,1,1,1,0
3996,11/20/2018 8:23,-1.364508879,36.91129477,Backing Unsafely,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
3997,11/20/2018 11:29,-1.274228011,36.8192,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,0,0,0,0,1,0,1,1,0
3998,11/20/2018 16:12,-1.310831971,36.8054493,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,Taxi,1,0,0,0,0,0,1,1,0
3999,11/20/2018 16:59,-1.287088231,36.81820856,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
4000,11/20/2018 18:45,-1.244783011,36.86685424,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
4001,11/20/2018 20:16,-1.296713921,36.86361022,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Taxi,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
4002,11/21/2018 7:10,-1.298357777,36.88640147,Lost Consciousness,Unspecified,Unspecified,Unspecified,Unspecified,Van,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
4003,11/21/2018 7:11,-1.298357777,36.88640147,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
4004,11/21/2018 7:18,-1.298357777,36.88640147,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
4005,11/21/2018 8:22,-1.092149236,37.03292522,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,TAXI,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
4006,11/21/2018 8:26,-1.092149236,37.03292522,Driver Inattention/Distraction,Following Too Closely,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
4007,11/21/2018 9:13,-1.321856385,36.84873594,Illnes,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
4008,11/21/2018 16:50,-1.26658511,36.8034323,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
4009,11/21/2018 17:13,-1.29515572,36.8219108,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
4010,11/22/2018 5:42,-1.297803641,36.87134223,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
4011,11/22/2018 5:58,-1.297803641,36.87134223,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
4012,11/22/2018 8:11,-1.231932038,36.66823388,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
4013,11/23/2018 6:31,-1.244783011,36.86685424,Brakes Defective,Other Vehicular,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,Taxi,PASSENGER VEHICLE,Taxi,1,0,0,0,0,0,1,1,0
4014,11/23/2018 7:37,-1.154618712,36.63872314,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
4015,11/23/2018 7:39,-1.310759305,36.72466543,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
4016,11/23/2018 11:48,-1.210855411,36.8938426,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
4017,11/23/2018 12:51,-1.325599927,36.79449153,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,1,0,0,0,0,0,1,1,0
4018,11/23/2018 16:32,-1.284905411,36.8228626,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Taxi,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
4019,11/23/2018 17:07,-1.300013461,36.78780269,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Refrigerated Van,Sedan,1,0,0,0,0,0,1,1,0
4020,11/23/2018 18:10,-1.29680441,36.86435992,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
4021,11/23/2018 19:46,-1.21120585,36.87461888,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,0,0,0,0,0,1,1,1,0
4022,11/23/2018 20:55,-1.149260633,36.9620546,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
4023,11/23/2018 21:07,-1.149244111,36.9620097,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
